epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,127.437,3.36945,5.95208,0.03685,0.05838,0.56886,0.13537,0.03437,2.49107,5.758,0.03445,0.00998369,0.0033279,0.00998369,0.0033279,0.00998369,0.0033279,0.00998369,0.0033279
2,234.921,2.20828,2.67326,0.02045,0.59638,0.51445,0.5559,0.22871,1.83758,3.60503,0.02133,0.0199177,0.00663925,0.0199177,0.00663925,0.0199177,0.00663925,0.0199177,0.00663925
3,340.14,1.8081,1.70615,0.01541,0.70892,0.66604,0.74372,0.41415,1.57909,1.9704,0.01852,0.0297858,0.0099286,0.0297858,0.0099286,0.0297858,0.0099286,0.0297858,0.0099286
4,444.562,1.61586,1.35636,0.0133,0.80937,0.66434,0.76399,0.40645,1.71123,1.64221,0.01909,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,548.874,1.48384,1.13967,0.01202,0.85287,0.77261,0.86833,0.54852,1.2931,1.27376,0.0141,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,653.999,1.39976,1.0065,0.01122,0.88561,0.83088,0.90588,0.60525,1.25744,1.06712,0.01362,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,760.281,1.33754,0.92932,0.01051,0.9024,0.85003,0.92066,0.65274,1.18821,0.90524,0.0129,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,866.343,1.29878,0.88102,0.01016,0.89976,0.85886,0.92276,0.66577,1.10064,1.03214,0.01165,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,972.468,1.25649,0.84515,0.00971,0.92202,0.8385,0.92088,0.67039,1.10772,0.84683,0.01149,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1078.69,1.21721,0.79181,0.00937,0.94525,0.86379,0.93944,0.69762,1.07112,0.75498,0.01114,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1184.91,1.19272,0.77084,0.00923,0.93774,0.88443,0.94639,0.70728,1.02182,0.75374,0.01082,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1291.03,1.1642,0.73445,0.00889,0.94699,0.8848,0.94701,0.71594,1.00805,0.74295,0.01017,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1397.06,1.15749,0.72143,0.00879,0.94726,0.90308,0.9587,0.7226,1.00114,0.67414,0.01083,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1503.2,1.13628,0.70795,0.00863,0.94061,0.89146,0.95204,0.7189,1.02206,0.70452,0.01032,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1609.31,1.11627,0.68666,0.00844,0.94774,0.87842,0.95192,0.73435,0.95431,0.63653,0.01003,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1715.48,1.0968,0.6736,0.00826,0.94939,0.90769,0.95866,0.73722,0.94959,0.60492,0.0101,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1821.59,1.08902,0.65587,0.00816,0.95299,0.90524,0.95777,0.75273,0.92404,0.59014,0.00938,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
