epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,202.515,3.03161,4.67068,0.03185,0.31447,0.30984,0.23528,0.07081,2.18054,3.74648,0.02823,0.00998369,0.0033279,0.00998369,0.0033279,0.00998369,0.0033279,0.00998369,0.0033279
2,385.437,2.09056,2.42191,0.01906,0.6118,0.53771,0.57604,0.26024,1.8618,2.34756,0.02213,0.0199177,0.00663925,0.0199177,0.00663925,0.0199177,0.00663925,0.0199177,0.00663925
3,565.75,1.79487,1.67904,0.01523,0.71921,0.67952,0.75476,0.41262,1.61267,1.61716,0.01889,0.0297858,0.0099286,0.0297858,0.0099286,0.0297858,0.0099286,0.0297858,0.0099286
4,745.078,1.63815,1.35678,0.01343,0.83124,0.69677,0.80652,0.4793,1.526,1.47151,0.01752,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,924.484,1.50973,1.15885,0.01222,0.82073,0.77305,0.85023,0.50845,1.43021,1.31772,0.01611,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1103.58,1.42931,1.03145,0.01146,0.86085,0.82139,0.90052,0.61051,1.23039,0.97999,0.01337,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1282.72,1.36693,0.95421,0.01074,0.87924,0.81412,0.90028,0.61636,1.24913,1.02944,0.01332,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1461.81,1.33089,0.89398,0.0104,0.86909,0.83703,0.91682,0.64564,1.16154,0.93651,0.01307,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1640.86,1.28446,0.85825,0.00995,0.90678,0.85046,0.92737,0.66273,1.12395,0.78598,0.01206,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1820.07,1.25247,0.81338,0.0097,0.89323,0.86492,0.9333,0.67674,1.0907,1.03663,0.01168,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1999.48,1.21712,0.79843,0.00939,0.92761,0.85103,0.93446,0.67961,1.08447,0.7889,0.0114,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2178.84,1.1923,0.7539,0.00908,0.90279,0.86904,0.94225,0.68591,1.06824,0.7138,0.01124,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2357.86,1.18362,0.74388,0.00897,0.91296,0.88553,0.94433,0.70905,1.01644,0.71837,0.01062,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2537.19,1.16134,0.72938,0.00886,0.94263,0.87355,0.95393,0.71772,1.02212,0.76033,0.01044,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,2716.31,1.14101,0.70277,0.00863,0.92582,0.87955,0.94516,0.70787,1.00552,0.71733,0.01046,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,2895.28,1.12158,0.68008,0.00847,0.94855,0.86942,0.94686,0.71418,1.00276,0.68988,0.0103,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,3074.16,1.11446,0.6741,0.00835,0.93969,0.88068,0.95524,0.73396,0.97249,0.84674,0.01012,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,3253.23,1.10937,0.65611,0.00832,0.94024,0.89906,0.95533,0.73227,0.99052,0.61776,0.01051,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
