epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,239.245,3.16252,5.67559,0.03447,0.33396,0.18011,0.18601,0.05323,2.14335,4.45791,0.02866,0.00999184,0.00333061,0.00999184,0.00333061,0.00999184,0.00333061,0.00999184,0.00333061
2,451.357,2.1233,2.5095,0.01948,0.66616,0.5985,0.66807,0.34405,1.65271,2.41765,0.0196,0.0199259,0.00664196,0.0199259,0.00664196,0.0199259,0.00664196,0.0199259,0.00664196
3,661.51,1.79239,1.67985,0.01541,0.74995,0.70544,0.77848,0.43716,1.54492,1.53835,0.0184,0.0297939,0.0099313,0.0297939,0.0099313,0.0297939,0.0099313,0.0297939,0.0099313
4,870.212,1.6227,1.35605,0.01354,0.87063,0.75249,0.86443,0.56797,1.29137,1.23168,0.01428,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1079.42,1.50694,1.15631,0.01234,0.83991,0.79962,0.87741,0.58743,1.21941,0.98304,0.01339,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1288.15,1.40478,1.02988,0.01132,0.90093,0.81651,0.90027,0.60833,1.2169,0.96983,0.01331,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1497.03,1.35312,0.95757,0.01078,0.8795,0.85403,0.91506,0.63601,1.15497,0.94995,0.01223,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1706,1.30851,0.90074,0.0102,0.91458,0.84615,0.91707,0.62786,1.18041,0.84969,0.01249,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1914.81,1.26252,0.84046,0.00982,0.92234,0.85929,0.93436,0.68274,1.03867,0.76653,0.01109,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2123.76,1.23121,0.8082,0.0097,0.93016,0.85459,0.94142,0.69124,1.05333,0.7335,0.0113,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2332.45,1.20223,0.78266,0.00943,0.93933,0.87718,0.94489,0.71847,0.98608,0.68052,0.01028,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2541.39,1.19256,0.77125,0.00922,0.93548,0.89081,0.94604,0.71123,1.00228,0.63857,0.01044,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2750.25,1.15592,0.74206,0.00897,0.91404,0.88856,0.9469,0.71241,0.97461,0.64273,0.01023,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2959.02,1.14725,0.72815,0.00882,0.92055,0.8826,0.94379,0.71013,0.97268,0.72355,0.01013,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,3167.77,1.13313,0.71703,0.00868,0.9522,0.8773,0.95468,0.73474,0.93077,0.58835,0.0097,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,3376.6,1.1125,0.67617,0.00841,0.92474,0.90694,0.94994,0.73919,0.9247,0.63203,0.0095,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,3585.55,1.09355,0.67022,0.00825,0.94765,0.89668,0.95682,0.74392,0.90915,0.54041,0.00941,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,3794.3,1.08965,0.66645,0.00834,0.95354,0.90103,0.95968,0.74169,0.9282,0.56226,0.00939,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,4003,1.07996,0.66684,0.00819,0.94228,0.90668,0.95815,0.74686,0.89021,0.55538,0.00934,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,4211.8,1.05965,0.63699,0.00801,0.95871,0.89739,0.95833,0.748,0.90683,0.56548,0.00929,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,4420.74,1.06255,0.64242,0.00804,0.95131,0.90914,0.96129,0.75526,0.87116,0.5325,0.00877,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,4629.56,1.0559,0.6478,0.00803,0.96165,0.90919,0.96259,0.76214,0.86917,0.53618,0.00898,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,4838.22,1.04356,0.6232,0.00786,0.94852,0.91258,0.96096,0.75013,0.88052,0.53349,0.00904,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,5047.03,1.03384,0.62377,0.0078,0.95004,0.91334,0.95987,0.75053,0.86065,0.54488,0.00883,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,5256.06,1.03915,0.61672,0.00786,0.94423,0.9242,0.961,0.76964,0.84149,0.56103,0.00858,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,5464.88,1.01325,0.60263,0.0076,0.93569,0.91707,0.9591,0.76259,0.84527,0.53647,0.00867,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,5673.81,1.01332,0.59535,0.00762,0.94851,0.92621,0.96757,0.75942,0.85463,0.49085,0.00873,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,5882.55,1.00894,0.58575,0.00754,0.96304,0.90936,0.96503,0.76885,0.84242,0.49096,0.00844,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,6091.36,1.00464,0.58956,0.00755,0.94718,0.91509,0.96613,0.76325,0.84088,0.49982,0.00862,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,6300.05,0.99656,0.56892,0.00746,0.96331,0.91295,0.96326,0.76592,0.85665,0.51098,0.00874,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,6508.77,1.00261,0.5882,0.00746,0.96507,0.91232,0.96827,0.78177,0.81589,0.49012,0.00823,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,6717.41,0.98474,0.57249,0.00737,0.9667,0.91488,0.96605,0.77095,0.82322,0.47769,0.0081,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,6926.26,0.98316,0.57557,0.00733,0.95487,0.92101,0.96614,0.78087,0.81372,0.49577,0.00827,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,7135.05,0.98186,0.56157,0.00729,0.93751,0.92233,0.96167,0.77434,0.81923,0.50252,0.00817,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,7343.7,0.98401,0.55953,0.00738,0.95672,0.91241,0.96613,0.77339,0.83748,0.50518,0.00849,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,7552.49,0.97293,0.56582,0.00725,0.95786,0.92758,0.96584,0.78272,0.80803,0.47275,0.00824,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,7761.25,0.96439,0.55356,0.00723,0.96728,0.9272,0.96798,0.7758,0.82434,0.48036,0.0084,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,7969.8,0.96718,0.55217,0.00719,0.94513,0.92833,0.96695,0.78245,0.80846,0.5265,0.00813,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,8178.49,0.95483,0.54375,0.00706,0.94527,0.9267,0.96771,0.77693,0.81401,0.48142,0.00814,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,8387.17,0.95023,0.53732,0.00713,0.96755,0.9272,0.9647,0.78191,0.79559,0.49394,0.00791,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,8595.88,0.95423,0.53681,0.00713,0.96993,0.9182,0.96843,0.78907,0.79166,0.46348,0.00783,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,8804.69,0.95296,0.54752,0.0071,0.96816,0.92833,0.97018,0.78077,0.80518,0.45351,0.00813,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,9013.54,0.94259,0.54197,0.00697,0.94956,0.92547,0.9664,0.78205,0.7938,0.50073,0.00801,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,9222.41,0.93793,0.53624,0.00697,0.95425,0.93096,0.96584,0.78729,0.78653,0.4725,0.00787,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,9430.99,0.92935,0.52659,0.00694,0.9657,0.92955,0.96851,0.78857,0.79389,0.45063,0.00783,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,9639.71,0.93422,0.51978,0.00695,0.96695,0.93313,0.96958,0.79411,0.7903,0.45336,0.00792,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,9848.46,0.93048,0.53283,0.0069,0.95944,0.92533,0.96379,0.78767,0.78157,0.46978,0.0078,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,10057.3,0.92206,0.52065,0.00688,0.96546,0.9257,0.97102,0.79334,0.7708,0.4452,0.00769,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,10265.9,0.93291,0.52456,0.00694,0.96093,0.93846,0.97079,0.79361,0.7702,0.53473,0.00776,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,10474.6,0.91995,0.51302,0.00678,0.95969,0.93812,0.97069,0.79565,0.77168,0.46158,0.00767,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,10683.4,0.92116,0.51355,0.00679,0.95885,0.94419,0.97132,0.79476,0.76595,0.43749,0.00764,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
