epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,246.953,3.28493,5.6421,0.03563,0.11695,0.24128,0.05947,0.0141,2.46024,6.53076,0.03409,0.00998369,0.0033279,0.00998369,0.0033279,0.00998369,0.0033279,0.00998369,0.0033279
2,467.438,2.21817,2.64583,0.02067,0.65926,0.57643,0.61521,0.23666,1.95132,2.77583,0.02271,0.0199177,0.00663925,0.0199177,0.00663925,0.0199177,0.00663925,0.0199177,0.00663925
3,680.547,1.81454,1.72555,0.01548,0.80831,0.70281,0.79612,0.44224,1.63362,1.6066,0.01895,0.0297858,0.0099286,0.0297858,0.0099286,0.0297858,0.0099286,0.0297858,0.0099286
4,892.312,1.62849,1.35663,0.0134,0.82888,0.74159,0.82444,0.52231,1.43176,1.28215,0.01586,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1105.19,1.49193,1.13293,0.01208,0.84658,0.803,0.88096,0.56936,1.31327,1.22185,0.01434,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1316.97,1.40095,1.00969,0.01122,0.89975,0.84528,0.91857,0.6207,1.23946,0.93717,0.01366,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1529.16,1.3397,0.91981,0.01051,0.90341,0.85253,0.92276,0.65419,1.14788,0.86538,0.01255,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1743.25,1.30074,0.87066,0.01015,0.91202,0.85141,0.9248,0.66243,1.10821,0.92689,0.012,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1953.67,1.25302,0.84371,0.00969,0.90687,0.88057,0.93639,0.6828,1.10733,0.79685,0.01171,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2164.36,1.22195,0.79415,0.00942,0.92363,0.88044,0.93772,0.69827,1.07107,0.81623,0.01136,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
